file_path,rel_path,size_bytes,riff_ok,avi_sig_ok,ffprobe_ok,duration_s,nb_streams,video_streams,audio_streams,issue_class,ffprobe_error
/Users/matthewconway/Desktop/currupt_vids/PICT0047.AVI,PICT0047.AVI,5995516,False,False,False,,0,0,0,bad_or_missing_header,"[avi @ 0x1316164b0] Format avi detected only with low score of 1, misdetection possible!
[in#0 @ 0x1316162d0] Error opening input: Invalid data found when processing input
Error opening input file /Users/matthewconway/Desktop/currupt_vids/PICT0047.AVI.
Error opening input files: Invalid data found when processing input"
/Users/matthewconway/Desktop/currupt_vids/PICT0048.AVI,PICT0048.AVI,3240404,False,False,False,,0,0,0,bad_or_missing_header,"[avi @ 0x128e16f50] Format avi detected only with low score of 1, misdetection possible!
[in#0 @ 0x128e16d70] Error opening input: Invalid data found when processing input
Error opening input file /Users/matthewconway/Desktop/currupt_vids/PICT0048.AVI.
Error opening input files: Invalid data found when processing input"
/Users/matthewconway/Desktop/currupt_vids/PICT0049.AVI,PICT0049.AVI,2397752,False,False,False,,0,0,0,bad_or_missing_header,"[avi @ 0x125806030] Format avi detected only with low score of 1, misdetection possible!
[in#0 @ 0x125805e50] Error opening input: Invalid data found when processing input
Error opening input file /Users/matthewconway/Desktop/currupt_vids/PICT0049.AVI.
Error opening input files: Invalid data found when processing input"
/Users/matthewconway/Desktop/currupt_vids/PICT0050.AVI,PICT0050.AVI,1588972,False,False,False,,0,0,0,bad_or_missing_header,"[avi @ 0x12b617040] Format avi detected only with low score of 1, misdetection possible!
[in#0 @ 0x12b616e60] Error opening input: Invalid data found when processing input
Error opening input file /Users/matthewconway/Desktop/currupt_vids/PICT0050.AVI.
Error opening input files: Invalid data found when processing input"
/Users/matthewconway/Desktop/currupt_vids/PICT0051.AVI,PICT0051.AVI,10544228,False,False,False,,0,0,0,bad_or_missing_header,"[avi @ 0x159706bf0] Format avi detected only with low score of 1, misdetection possible!
[in#0 @ 0x159706a10] Error opening input: Invalid data found when processing input
Error opening input file /Users/matthewconway/Desktop/currupt_vids/PICT0051.AVI.
Error opening input files: Invalid data found when processing input"
/Users/matthewconway/Desktop/currupt_vids/PICT0052.AVI,PICT0052.AVI,29292936,False,False,False,,0,0,0,bad_or_missing_header,"[avi @ 0x12e606070] Format avi detected only with low score of 1, misdetection possible!
[in#0 @ 0x12e605e90] Error opening input: Invalid data found when processing input
Error opening input file /Users/matthewconway/Desktop/currupt_vids/PICT0052.AVI.
Error opening input files: Invalid data found when processing input"
/Users/matthewconway/Desktop/currupt_vids/PICT0053.AVI,PICT0053.AVI,641156,False,False,False,,0,0,0,bad_or_missing_header,"[avi @ 0x12b6164b0] Format avi detected only with low score of 1, misdetection possible!
[in#0 @ 0x12b6162d0] Error opening input: Invalid data found when processing input
Error opening input file /Users/matthewconway/Desktop/currupt_vids/PICT0053.AVI.
Error opening input files: Invalid data found when processing input"
/Users/matthewconway/Desktop/currupt_vids/PICT0054.AVI,PICT0054.AVI,5609416,False,False,False,,0,0,0,bad_or_missing_header,"[avi @ 0x14ae164b0] Format avi detected only with low score of 1, misdetection possible!
[in#0 @ 0x14ae162d0] Error opening input: Invalid data found when processing input
Error opening input file /Users/matthewconway/Desktop/currupt_vids/PICT0054.AVI.
Error opening input files: Invalid data found when processing input"
/Users/matthewconway/Desktop/currupt_vids/PICT0055.AVI,PICT0055.AVI,9014760,False,False,False,,0,0,0,bad_or_missing_header,"[avi @ 0x135617040] Format avi detected only with low score of 1, misdetection possible!
[in#0 @ 0x135616e60] Error opening input: Invalid data found when processing input
Error opening input file /Users/matthewconway/Desktop/currupt_vids/PICT0055.AVI.
Error opening input files: Invalid data found when processing input"
/Users/matthewconway/Desktop/currupt_vids/PICT0056.AVI,PICT0056.AVI,5675648,False,False,False,,0,0,0,bad_or_missing_header,"[avi @ 0x1236164b0] Format avi detected only with low score of 1, misdetection possible!
[in#0 @ 0x1236162d0] Error opening input: Invalid data found when processing input
Error opening input file /Users/matthewconway/Desktop/currupt_vids/PICT0056.AVI.
Error opening input files: Invalid data found when processing input"
